ax,ay,az,wx,wy,wz
0.276059,0.149366,10.1827,0.0603145,0.0687236,0.0846485
0.357864,0.0865095,9.26836,0.0557845,0.0718107,0.0621918
0.430952,0.10513,9.98489,0.0302886,0.0707496,0.0802419
0.163228,0.0425114,10.0891,0.0541707,0.0754222,0.0371507
0.421743,0.0903274,9.83923,0.0518652,0.0659015,0.0680102
0.488593,0.473121,9.89211,0.0315588,0.0680557,0.0844062
0.241978,-0.215899,9.69915,0.0897037,0.0642037,0.0544505
0.525165,0.225316,9.88109,0.0382052,0.0435977,0.0770347
0.597655,0.22125,10.027,0.0226778,0.0682478,0.0161793
-0.0470406,0.31436,10.1038,0.0497946,0.0710464,0.0970155
0.368349,0.121524,10.0663,0.0501405,0.0722515,0.0465676
0.644618,0.304665,9.70784,0.0923265,0.0957185,0.0734625
0.353413,0.120002,9.55244,0.058709,0.0514956,0.0392327
0.297844,-0.115182,9.81038,0.0686145,0.0489558,0.0599416
0.212944,0.123266,9.92052,0.0653329,0.0879989,0.074028
0.222003,0.157456,9.85382,0.0605619,0.0604267,0.0618539
0.243561,0.336743,10.2777,0.0809829,0.0616782,0.0835099
0.364905,0.507725,9.86543,0.0622382,0.0610075,0.0582763
0.16209,-0.214911,10.1099,0.104596,0.0490281,0.0717982
0.365266,0.211761,9.9931,0.0714216,0.0870996,0.0807043
0.439148,0.364909,9.90986,0.0276067,0.0339241,0.0424663
0.263109,0.325135,9.83656,0.0266377,0.100624,0.0526569
0.166966,0.489668,9.73306,0.0742463,0.0745056,0.0564174
0.211647,-0.0889362,9.84989,0.056193,0.0390803,0.049787
0.297986,0.302369,9.93522,0.0336989,0.037395,0.0790112
0.419213,0.264233,10.1171,0.0960987,0.0944402,0.0729272
0.60848,-0.237743,9.97492,0.0983115,0.0842966,0.0491423
0.174819,-0.172525,9.97771,0.0655849,0.112208,0.0726368
0.325194,0.381671,9.84654,0.0830356,0.0835055,0.0840535
0.195568,0.490288,9.99951,0.132679,0.0872634,0.0675667
0.124415,0.149327,9.52706,0.110028,0.0611278,0.0729467
0.466056,0.233746,9.77948,0.0580998,0.0254499,0.0751829
0.562883,0.149749,9.77129,0.131058,0.10551,0.0509899
0.314568,0.265833,9.6364,0.0574737,0.076812,0.0587135
0.759379,0.362959,9.90561,0.0863119,0.0943549,0.0907684
0.457327,-0.159298,9.95253,0.0652972,0.0949823,0.10366
0.29108,0.164993,9.90338,0.0882117,0.0525909,0.0343434
0.516893,0.243014,9.74352,0.0519123,0.0681458,0.0548173
0.279661,0.346716,9.8152,0.0659143,0.106126,0.0922999
0.558738,0.350312,9.83913,0.0564623,0.0475372,0.0871927
0.708572,-0.236719,9.69411,0.047641,0.0891536,0.0977799
0.196248,-0.107371,10.1523,0.0905029,0.0753871,0.116736
0.696404,0.405498,9.88143,0.0971692,0.0737211,0.0649726
0.299947,0.370436,9.85765,0.0924818,0.0839587,0.0831606
0.40993,-0.264639,9.82737,0.0806388,0.0460294,0.0728738
0.307098,0.316929,10.132,0.07239,0.0910753,0.10941
0.676191,0.0812055,10.146,0.0795732,0.109576,0.108885
0.798922,0.287833,9.61024,0.0789381,0.0894923,0.088107
0.325094,0.0851494,9.82839,0.107669,0.0862972,0.0745196
0.383491,-0.0594872,10.1181,0.0949649,0.115837,0.124172
0.520313,0.110523,10.0317,0.0883971,0.10854,0.11432
0.567555,0.170831,9.96388,0.10237,0.0896217,0.0688335
0.24126,0.361452,9.98965,0.0868077,0.0885655,0.0803445
