UTC Timestamp,Latitude,Longitude,Heading
1542356255.262801394,39.7917480269484,116.498635622366,-144.078094482422
1542356255.310949068,39.7917479725576,116.498635863503,-144.066314697266
1542356255.353703408,39.7917479770078,116.498635854912,-144.06591796875
1542356255.401778162,39.791747903444,116.498635956295,-144.075805664062
1542356255.449843645,39.7917479098935,116.498635945252,-144.076461791992
1542356255.492653874,39.791747919189,116.498635938349,-144.076416015625
1542356255.540692047,39.791747932739,116.498635932483,-144.075622558594
1542356255.583480606,39.7917479462158,116.498635926001,-144.077835083008
1542356255.631658919,39.7917479643703,116.498635919263,-144.076690673828
1542356255.679615542,39.791747986152,116.498635915007,-144.07698059082
1542356255.722431768,39.7917475055133,116.498636304549,-144.037033081055
1542356255.770462585,39.7917474971475,116.498636297093,-144.035858154297
1542356255.813258683,39.791747369122,116.498636220451,-144.000869750977
1542356255.861313997,39.7917473643855,116.49863621795,-144.002670288086
1542356255.909464354,39.7917473662945,116.498636221938,-144.002243041992
1542356255.952214937,39.7917473720011,116.498636229693,-144.000900268555
1542356256.000264233,39.7917473808938,116.498636240914,-143.9990234375
1542356256.043012868,39.7917473929576,116.498636254531,-143.997344970703
1542356256.091114127,39.791747417418,116.498636281552,-143.995025634766
1542356256.139218421,39.7917474571953,116.498636323544,-143.995635986328
1542356256.181985059,39.7917475071733,116.498636377451,-143.994827270508
1542356256.230045528,39.7917479867046,116.4986362147,-144.036087036133
1542356256.272832317,39.7917480736485,116.498636115136,-144.036071777344
1542356256.320890725,39.7917481571106,116.498636095165,-144.033248901367
1542356256.363699562,39.791748225234,116.498636057729,-144.032974243164
1542356256.411717645,39.7917482988268,116.498636007639,-144.031753540039
1542356256.459844648,39.7917483663059,116.49863594477,-144.03190612793
1542356256.502617976,39.7917484408239,116.498635908654,-144.030319213867
1542356256.550680803,39.791748526541,116.498635866382,-144.03010559082
1542356256.593524028,39.7917486099573,116.49863583382,-144.030609130859
1542356256.641579444,39.7917478975883,116.498636340091,-143.984603881836
1542356256.689607509,39.7917479088752,116.498636276642,-143.984939575195
1542356256.732402387,39.7917479462713,116.498636247198,-143.983596801758
1542356256.780478753,39.7917480073418,116.49863624013,-143.983444213867
1542356256.823307263,39.791748315487,116.4986364607,-144.018203735352
1542356256.871322968,39.7917483700749,116.498636398946,-144.019805908203
1542356256.919468480,39.7917484315641,116.498636360599,-144.019760131836
1542356256.962192262,39.7917485104424,116.498636368635,-144.019607543945
1542356257.010255339,39.7917485995308,116.498636371201,-144.01872253418
1542356257.053072880,39.7917486927801,116.498636391115,-144.018402099609
1542356257.101136729,39.7917488214231,116.498636448496,-144.013580322266
1542356257.149225733,39.7917475224239,116.498636408768,-144.155456542969
1542356257.191993695,39.7917475561978,116.498636292907,-144.153213500977
1542356257.240042346,39.7917476034858,116.498636249422,-144.152908325195
1542356257.282922915,39.7917476395754,116.498636192234,-144.149673461914
1542356257.330873524,39.7917475139572,116.498636359565,-143.947723388672
1542356257.378988438,39.7917475508452,116.498636318242,-143.946594238281
1542356257.421819634,39.791747672596,116.498636351672,-143.939743041992
1542356257.469823547,39.7917478106997,116.498636402518,-143.945251464844
1542356257.512703818,39.7917479343956,116.498636463576,-143.949111938477
1542356257.560677506,39.7917480479736,116.49863649462,-143.949630737305
1542356257.603470068,39.7917481525894,116.498636526732,-143.947387695312
1542356257.651559265,39.7917483312916,116.498636635239,-143.941589355469
1542356257.699603322,39.7917485445056,116.49863674897,-143.943908691406
1542356257.742429036,39.7917487255796,116.498636839474,-143.950759887695
1542356257.790479330,39.7917489074148,116.498636919256,-143.950958251953
1542356257.833259223,39.7917478533347,116.498636519462,-143.781524658203
1542356257.881294178,39.7917477774486,116.498636282678,-143.779220581055
1542356257.929432841,39.7917478240707,116.498636184144,-143.779891967773
1542356257.972200308,39.7917478780021,116.498636107296,-143.77978515625
1542356258.020294710,39.7917479386056,116.498636017755,-143.77978515625
1542356258.063009970,39.791747993521,116.498635935485,-143.779312133789
1542356258.111123831,39.7917480632129,116.498635847847,-143.779815673828
1542356258.159197520,39.7917481797285,116.498635805178,-143.777587890625
1542356258.201961045,39.7917483192894,116.498635774968,-143.780975341797
1542356258.250015534,39.7917475448593,116.498636386176,-143.951034545898
1542356258.292820740,39.7917478184723,116.498635912216,-143.960067749023
1542356258.340914092,39.7917479690123,116.498635522166,-143.982559204102
1542356258.388984984,39.7917480979781,116.498635071572,-143.963897705078
1542356258.431789341,39.7917482045413,116.498634724184,-143.955825805664
1542356258.479829449,39.791748343769,116.498634361722,-143.956359863281
1542356258.522629405,39.7917476637682,116.498635790812,-143.972763061523
1542356258.570680928,39.7917478859492,116.498635716324,-143.973892211914
1542356258.618777262,39.7917480530598,116.498635529918,-143.972534179688
1542356258.661576992,39.7917482004056,116.498635359883,-143.970489501953
1542356258.709640000,39.7917483561248,116.498635151058,-143.96533203125
1542356258.752408927,39.7917478592848,116.498635997497,-143.772338867188
1542356258.800542966,39.7917479706889,116.498635854244,-143.772842407227
1542356258.843229403,39.7917479747436,116.498635684216,-143.790924072266
1542356258.891297696,39.7917480451417,116.49863549398,-143.788055419922
1542356258.939437545,39.791748141862,116.498635337013,-143.793930053711
1542356258.982209338,39.7917482493508,116.498635223646,-143.790939331055
1542356259.030243375,39.7917484066833,116.498635120446,-143.776397705078
1542356259.073046901,39.791748571673,116.498634998396,-143.77278137207
1542356259.121089329,39.7917487842651,116.498634881042,-143.782363891602
1542356259.169232027,39.7917490025317,116.498634823985,-143.800140380859
1542356259.212048450,39.7917491996123,116.498634815744,-143.808670043945
