x,y,z,phi,theta,psi
30.1912,-34.4827,-17.3373,35.733,19.6625,45.0876
32.2248,-36.0646,-19.22,34.5782,18.0071,44.3
31.5183,-36.6553,-20.0897,34.6791,17.8071,44.4723
33.8373,-37.1183,-21.067,35.1714,17.102,43.8733
35.3995,-37.3882,-21.6318,35.0113,16.7766,44.1963
37.4286,-38.7098,-22.4105,33.8862,17.328,44.0662
39.0706,-39.1125,-22.0993,32.7854,16.4239,41.7498
40.2087,-39.9008,-23.2478,32.209,15.8483,40.6539
41.8505,-42.2748,-23.9244,31.6566,14.8483,40.3552
44.5126,-43.6229,-24.2869,30.2504,13.5448,39.6427
45.9494,-43.844,-23.1288,30.9053,13.6151,38.1157
47.8543,-45.2868,-23.5477,27.8588,12.2492,38.1038
50.1289,-46.9255,-24.6104,28.3241,12.2877,36.2106
51.2322,-48.0729,-25.6909,27.1225,10.8859,35.4179
53.1014,-49.3787,-25.7591,24.4569,11.1349,33.3528
56.5847,-50.9197,-26.6398,24.0235,9.14976,32.9882
58.9569,-51.7315,-26.7034,22.7884,7.90584,29.969
59.8497,-52.5556,-27.1087,21.9752,6.46854,28.77
61.1594,-52.0452,-27.9377,21.6979,4.90023,29.6889
61.9947,-52.7027,-28.7731,21.019,4.38341,28.8755
64.7202,-52.6297,-29.1474,19.9086,5.50633,27.4049
67.1101,-52.2389,-29.0876,18.849,3.36398,26.4069
68.8553,-53.8116,-29.7171,17.5591,3.3794,25.8586
71.2594,-55.2253,-30.4011,17.4306,1.79574,25.1609
73.6318,-57.026,-29.9907,16.6447,0.917752,23.991
75.6849,-57.3236,-29.8452,15.1926,1.30098,23.4788
77.0461,-57.499,-29.6791,14.5504,0.505716,21.5107
79.0477,-57.3949,-28.6521,13.2245,-0.82459,21.3105
80.6255,-58.3568,-29.7965,12.8314,0.641285,22.2769
82.9155,-58.8428,-30.2174,10.7962,-0.836293,20.9967
84.5649,-59.1282,-30.9841,9.91643,-0.245936,20.4651
86.6199,-60.4534,-30.8589,9.69866,-1.09931,20.3193
89.5007,-61.3838,-31.9974,10.3699,-2.61804,18.4313
91.6739,-61.3237,-32.6086,9.9224,-2.82327,18.6193
94.4067,-62.2022,-33.4735,9.08653,-3.29108,18.9986
97.9814,-62.4302,-34.9646,9.08607,-5.37557,17.2485
100.284,-62.4311,-35.4353,8.71628,-6.103,15.1471
102.258,-62.9531,-36.0415,9.04535,-6.02866,15.5882
104.44,-65.007,-38.2785,7.93883,-6.45688,13.2369
106.695,-66.2407,-37.6842,8.59197,-7.29932,12.4623
109.268,-67.1199,-38.2757,8.87055,-6.9663,12.6851
111.907,-68.0828,-38.7937,7.6228,-7.10341,11.4614
113.88,-69.6351,-39.5914,6.88415,-8.6313,10.5396
116.95,-70.7576,-40.2844,6.19345,-7.59489,8.59661
119.689,-71.4843,-40.578,7.03603,-9.27394,8.25421
122.418,-72.0506,-41.0775,6.97521,-7.81074,8.12807
124.343,-72.8829,-42.5324,8.03075,-9.3532,7.15365
125.179,-74.117,-42.5933,6.30341,-9.02552,7.61638
127.953,-74.9803,-41.7332,6.92274,-10.1091,6.90814
129.983,-75.6152,-42.2118,7.11845,-9.41609,6.60521
131.096,-76.8751,-44.1988,4.36434,-9.77901,5.49333
132.284,-78.249,-44.7455,5.37489,-11.0004,7.3594
134.249,-77.8869,-46.0372,5.6016,-13.4655,6.43207
136.182,-79.256,-47.392,4.13284,-13.1913,5.06975
139.024,-81.4423,-48.2327,4.00765,-13.6076,6.05077
141.576,-83.1236,-50.9586,4.1896,-15.3274,4.71275
143.353,-84.9989,-51.9323,4.24928,-16.6014,6.18439
146.408,-85.7036,-53.5484,3.97873,-17.318,4.54773
148.41,-87.1949,-54.3009,4.40306,-15.8272,5.0697
150.149,-88.7867,-54.3407,3.61192,-16.0848,5.31304
151.979,-90.1585,-53.678,2.0095,-14.6703,6.32506
154.036,-91.2762,-55.4693,1.5567,-16.929,6.50822
157.342,-91.3718,-56.8835,0.920521,-16.4403,5.61367
159.371,-92.2407,-57.2326,1.49784,-14.5431,5.68956
