x,y,z,vx,vy,vz,phi,theta,psi
-0.606551,-0.879062,-1.99172,-0.178165,-0.129652,-0.1922,-0.747785,-0.90277,1.30801
-0.607442,-0.879711,-1.99268,-0.177928,-0.1291,-0.193239,-0.736256,-0.887275,1.31504
-0.608331,-0.880356,-1.99365,-0.176471,-0.128375,-0.19419,-0.727359,-0.879651,1.33669
-0.609214,-0.880998,-1.99462,-0.177217,-0.128898,-0.194625,-0.712591,-0.864928,1.34441
-0.433986,-1.00367,-1.73381,-0.109954,-0.133582,-0.125543,-4.48233,1.83253,-0.754737
-0.434536,-1.00434,-1.73443,-0.107337,-0.128886,-0.127009,-4.46461,1.83709,-0.739846
-0.435072,-1.00498,-1.73507,-0.104191,-0.125292,-0.126883,-4.44488,1.86767,-0.730061
-0.435593,-1.00561,-1.7357,-0.103433,-0.121991,-0.128767,-4.43512,1.88353,-0.726511
-0.43611,-1.00622,-1.73635,-0.103259,-0.117209,-0.12938,-4.42291,1.90429,-0.723266
-0.436627,-1.0068,-1.73699,-0.097727,-0.1142,-0.129062,-4.40788,1.92178,-0.714157
-0.437116,-1.00738,-1.73764,-0.0936324,-0.110363,-0.130938,-4.39037,1.94421,-0.698266
-0.437584,-1.00793,-1.73829,-0.0903056,-0.105208,-0.13112,-4.37886,1.95493,-0.677358
-0.438035,-1.00845,-1.73895,-0.0874821,-0.102547,-0.13194,-4.37193,1.96571,-0.674777
-0.438472,-1.00897,-1.73961,-0.0822401,-0.0972695,-0.131878,-4.35601,1.97528,-0.662279
-0.438884,-1.00945,-1.74027,-0.0784988,-0.0917048,-0.133055,-4.34157,1.99148,-0.654581
-0.439276,-1.00991,-1.74094,-0.0744846,-0.0875643,-0.134382,-4.33374,2.00943,-0.635582
-2.18891,-0.898972,-2.59044,-0.648127,-0.0857475,-0.407528,1.13601,1.28576,0.461542
-2.19215,-0.899401,-2.59248,-0.645869,-0.0865483,-0.406916,1.14311,1.29994,0.482704
-2.19538,-0.899834,-2.59451,-0.642726,-0.0870809,-0.406712,1.16665,1.31156,0.516826
-2.1986,-0.90027,-2.59655,-0.640853,-0.0842942,-0.408319,1.18173,1.31812,0.531512
-2.2018,-0.900691,-2.59859,-0.638739,-0.0826147,-0.408703,1.2014,1.3326,0.544718
-2.205,-0.901104,-2.60063,-0.637186,-0.0828528,-0.408879,1.21293,1.34598,0.55855
-2.20818,-0.901519,-2.60268,-0.634181,-0.0829279,-0.410001,1.22742,1.36588,0.566101
-2.21135,-0.901934,-2.60473,-0.633658,-0.0831969,-0.410055,1.23886,1.39042,0.58108
-2.21452,-0.902349,-2.60678,-0.631898,-0.0821001,-0.409935,1.25243,1.39958,0.590864
-2.21768,-0.90276,-2.60883,-0.628994,-0.0817849,-0.411192,1.25829,1.40707,0.607956
-2.22083,-0.903169,-2.61088,-0.626519,-0.0804797,-0.411098,1.28344,1.42615,0.622089
-2.22396,-0.903572,-2.61294,-0.62378,-0.0787924,-0.410691,1.30002,1.43768,0.643118
-2.06963,-1.22132,-2.19854,-0.589165,-0.240973,-0.247838,6.96713,-2.77408,-1.87013
-2.07258,-1.22252,-2.19978,-0.592638,-0.245829,-0.247579,6.98455,-2.75669,-1.84651
-2.07554,-1.22375,-2.20102,-0.59376,-0.253748,-0.246609,7.00138,-2.75163,-1.82431
-2.07851,-1.22502,-2.20225,-0.594633,-0.260406,-0.248075,7.01519,-2.73786,-1.80915
-2.08148,-1.22632,-2.20349,-0.597262,-0.266732,-0.249829,7.02816,-2.71967,-1.78812
-2.08447,-1.22766,-2.20474,-0.598414,-0.272658,-0.249626,7.03937,-2.70378,-1.76394
-2.08746,-1.22902,-2.20599,-0.60061,-0.276414,-0.249769,7.05499,-2.69346,-1.7442
-2.09046,-1.2304,-2.20724,-0.602121,-0.283382,-0.250966,7.07457,-2.67712,-1.72053
-2.09347,-1.23182,-2.2085,-0.60361,-0.289034,-0.251529,7.09015,-2.66677,-1.6915
-2.09649,-1.23327,-2.20975,-0.606362,-0.294396,-0.25242,7.10524,-2.651,-1.67776
-2.09952,-1.23474,-2.21102,-0.605905,-0.299939,-0.253425,7.11108,-2.63562,-1.6582
-2.10255,-1.23624,-2.21228,-0.608182,-0.30394,-0.255227,7.12688,-2.62258,-1.63616
-2.54116,-0.932107,-2.20483,-0.777352,-0.116729,-0.247776,-1.22239,0.620599,0.150378
-2.54505,-0.932691,-2.20606,-0.776525,-0.11492,-0.248842,-1.20585,0.649293,0.159589
-2.54893,-0.933266,-2.20731,-0.776076,-0.111928,-0.249903,-1.18939,0.666346,0.176481
-2.55281,-0.933825,-2.20856,-0.774087,-0.110753,-0.251015,-1.16033,0.692455,0.189644
-2.55668,-0.934379,-2.20981,-0.773474,-0.108785,-0.251957,-1.13796,0.707751,0.217163
-2.56055,-0.934923,-2.21107,-0.771535,-0.10792,-0.252239,-1.11843,0.730038,0.239694
-2.56441,-0.935463,-2.21234,-0.768928,-0.106194,-0.253777,-1.10319,0.748152,0.257477
-2.56825,-0.935994,-2.2136,-0.768141,-0.103954,-0.255803,-1.07726,0.767962,0.290564
-2.5721,-0.936514,-2.21488,-0.766087,-0.103537,-0.255574,-1.0655,0.791352,0.304327
-2.57593,-0.937032,-2.21616,-0.763169,-0.103252,-0.255382,-1.0371,0.813745,0.311317
-2.57974,-0.937548,-2.21744,-0.761789,-0.101835,-0.255727,-1.00673,0.834498,0.328667
-2.58355,-0.938058,-2.21872,-0.761313,-0.0994984,-0.254742,-0.981064,0.839224,0.345324
-2.74519,-1.37485,-1.55429,-0.827846,-0.332945,0.0766342,1.46126,2.47563,5.36967
-2.74933,-1.37651,-1.55391,-0.823496,-0.331055,0.0770086,1.47553,2.49161,5.38419
-2.75345,-1.37817,-1.55353,-0.820846,-0.332045,0.0767356,1.48958,2.50765,5.40681
-2.75755,-1.37983,-1.55314,-0.817755,-0.33029,0.0773153,1.49516,2.52962,5.42258
-2.76164,-1.38148,-1.55276,-0.814392,-0.329707,0.0777457,1.51845,2.55567,5.44056
-2.76571,-1.38313,-1.55237,-0.812727,-0.329704,0.0769471,1.54061,2.57752,5.45925
-2.76977,-1.38477,-1.55198,-0.808217,-0.331951,0.0778881,1.56261,2.59284,5.48007
-2.77381,-1.38643,-1.55159,-0.804048,-0.333806,0.0778673,1.58536,2.61599,5.50195
-2.77783,-1.3881,-1.5512,-0.799752,-0.335499,0.0776425,1.60746,2.63683,5.51918
-2.78183,-1.38978,-1.55082,-0.797871,-0.337757,0.0774798,1.63067,2.65967,5.54392
-2.78582,-1.39147,-1.55043,-0.794521,-0.339116,0.0776915,1.6485,2.68461,5.56959
-2.78979,-1.39316,-1.55004,-0.78928,-0.338629,0.0774264,1.67392,2.70416,5.58818
-1.91092,-1.93326,-1.28119,-0.319433,-0.614429,0.228443,-2.12569,-0.564881,4.51968
-1.91252,-1.93633,-1.28005,-0.318667,-0.61154,0.229392,-2.09773,-0.545498,4.54033
-1.91411,-1.93939,-1.2789,-0.318199,-0.607808,0.230468,-2.07894,-0.520647,4.56483
-1.9157,-1.94243,-1.27775,-0.317786,-0.605342,0.230599,-2.05622,-0.500085,4.58635
-1.91729,-1.94545,-1.27659,-0.315814,-0.603283,0.232547,-2.03375,-0.492541,4.61078
-1.91887,-1.94847,-1.27543,-0.31534,-0.601716,0.233388,-2.00681,-0.478903,4.62653
-1.92045,-1.95148,-1.27426,-0.314807,-0.599472,0.233018,-1.9914,-0.454256,4.64548
-1.92202,-1.95448,-1.2731,-0.313375,-0.598109,0.234576,-1.96292,-0.426677,4.66787
-1.92359,-1.95747,-1.27193,-0.312707,-0.596742,0.232491,-1.93342,-0.404819,4.68551
